gender;age;birthplace;marital_status;education;profession;car;km_driven;city;class;C9;C1/a;C1/b;C1/c;C2/a;C2/b;C2/c;C3/a;C3/b;C3/c;C3/d;C4/a;C5/a;C5/b;C6/a
F;25;Morocco;Married;Master;Looking for a job;NSEP;30000;Milan;1;740.40;703.36;654.13;666.15;;;;;;;;251.32;;711.00;
M;32;Morocco;Married;Master;Looking for a job;NSEP;30000;Milan;1;709.85;674.35;633.56;651.48;;;;;;;;237.42;;647.00;
F;32;Morocco;Married;Master;Looking for a job;NSEP;30000;Milan;1;709.85;674.35;633.56;651.48;;;;;;;;237.42;;647.00;
M;25;China;Married;Master;Looking for a job;NSEP;30000;Milan;1;624.28;593.07;589.69;613.88;;;;;;;;251.32;;711.00;
F;25;China;Married;Master;Looking for a job;NSEP;30000;Milan;1;624.28;593.07;589.69;613.88;;;;;;;;251.32;;711.00;
M;32;China;Married;Master;Looking for a job;NSEP;30000;Milan;1;599.68;569.70;579.72;603.15;;;;;;;;237.42;;647.00;
F;32;China;Married;Master;Looking for a job;NSEP;30000;Milan;1;599.68;569.70;579.72;603.15;;;;;;;;237.42;;647.00;
M;25;Milan;Single;Master;Looking for a job;NSEP;30000;Milan;1;531.76;505.16;534.38;548.18;;;;;;;;207.47;;688.00;
F;25;Milan;Single;Master;Looking for a job;NSEP;30000;Milan;1;531.76;505.16;534.38;548.18;;;;;;;;207.47;;688.00;
M;32;Milan;Single;Master;Looking for a job;NSEP;30000;Milan;1;455.81;433.02;463.62;478.68;;;;;;;;185.26;;629.00;
F;32;Milan;Single;Master;Looking for a job;NSEP;30000;Milan;1;449.14;426.69;457.18;472.57;;;;;;;;185.26;;629.00;
